surrogate,attack,target,num_samples,clean_accuracy,adversarial_accuracy,attack_success_rate,mean_linf_perturbation,max_linf_perturbation,reported_clean_acc,reported_robust_acc,delta_vs_reported,generation_time_s
Standard,Admix,Andriushchenko2020Understanding,10000,79.84,77.88,2.86,0.031373,0.031373,79.84,43.93,33.95,2183.8
Standard,Admix,Ding2020MMA,10000,84.36,81.92,3.15,0.031373,0.031373,84.36,41.44,40.48,2183.8
Standard,Admix,Chen2020Adversarial,10000,86.04,83.88,2.75,0.031373,0.031373,86.04,51.56,32.32,2183.8
Standard,VMIFGSM,Andriushchenko2020Understanding,10000,79.84,77.67,2.89,0.031373,0.031373,79.84,43.93,33.74,1262.1
Standard,VMIFGSM,Ding2020MMA,10000,84.36,81.68,3.37,0.031373,0.031373,84.36,41.44,40.24,1262.1
Standard,VMIFGSM,Chen2020Adversarial,10000,86.04,83.38,3.21,0.031373,0.031373,86.04,51.56,31.82,1262.1
Standard,DIFGSM,Andriushchenko2020Understanding,10000,79.84,77.71,2.84,0.031373,0.031373,79.84,43.93,33.78,210.4
Standard,DIFGSM,Ding2020MMA,10000,84.36,81.7,3.34,0.031373,0.031373,84.36,41.44,40.26,210.4
Standard,DIFGSM,Chen2020Adversarial,10000,86.04,83.65,2.93,0.031373,0.031373,86.04,51.56,32.09,210.4
Standard,TIFGSM,Andriushchenko2020Understanding,10000,79.84,77.61,3.19,0.031373,0.031373,79.84,43.93,33.68,210.8
Standard,TIFGSM,Ding2020MMA,10000,84.36,81.53,3.89,0.031373,0.031373,84.36,41.44,40.09,210.8
Standard,TIFGSM,Chen2020Adversarial,10000,86.04,83.44,3.36,0.031373,0.031373,86.04,51.56,31.88,210.8
cifar10_vgg16_bn,Admix,Andriushchenko2020Understanding,10000,79.84,77.82,2.78,0.031373,0.031373,79.84,43.93,33.89,164.9
cifar10_vgg16_bn,Admix,Ding2020MMA,10000,84.36,81.98,3.25,0.031373,0.031373,84.36,41.44,40.54,164.9
cifar10_vgg16_bn,Admix,Chen2020Adversarial,10000,86.04,83.67,2.99,0.031373,0.031373,86.04,51.56,32.11,164.9
cifar10_vgg16_bn,VMIFGSM,Andriushchenko2020Understanding,10000,79.84,77.36,3.33,0.031373,0.031373,79.84,43.93,33.43,96.3
cifar10_vgg16_bn,VMIFGSM,Ding2020MMA,10000,84.36,81.39,3.67,0.031373,0.031373,84.36,41.44,39.95,96.3
cifar10_vgg16_bn,VMIFGSM,Chen2020Adversarial,10000,86.04,83.26,3.39,0.031373,0.031373,86.04,51.56,31.7,96.3
cifar10_vgg16_bn,DIFGSM,Andriushchenko2020Understanding,10000,79.84,77.5,3.13,0.031373,0.031373,79.84,43.93,33.57,16.2
cifar10_vgg16_bn,DIFGSM,Ding2020MMA,10000,84.36,81.34,3.71,0.031373,0.031373,84.36,41.44,39.9,16.2
cifar10_vgg16_bn,DIFGSM,Chen2020Adversarial,10000,86.04,83.36,3.31,0.031373,0.031373,86.04,51.56,31.8,16.2
cifar10_vgg16_bn,TIFGSM,Andriushchenko2020Understanding,10000,79.84,77.28,3.72,0.031373,0.031373,79.84,43.93,33.35,16.2
cifar10_vgg16_bn,TIFGSM,Ding2020MMA,10000,84.36,81.31,4.16,0.031373,0.031373,84.36,41.44,39.87,16.2
cifar10_vgg16_bn,TIFGSM,Chen2020Adversarial,10000,86.04,83.05,3.8,0.031373,0.031373,86.04,51.56,31.49,16.2
cifar10_resnet56,Admix,Andriushchenko2020Understanding,10000,79.84,78.2,2.42,0.031373,0.031373,79.84,43.93,34.27,203.4
cifar10_resnet56,Admix,Ding2020MMA,10000,84.36,82.2,2.93,0.031373,0.031373,84.36,41.44,40.76,203.4
cifar10_resnet56,Admix,Chen2020Adversarial,10000,86.04,84.26,2.37,0.031373,0.031373,86.04,51.56,32.7,203.4
cifar10_resnet56,VMIFGSM,Andriushchenko2020Understanding,10000,79.84,77.95,2.49,0.031373,0.031373,79.84,43.93,34.02,142.0
cifar10_resnet56,VMIFGSM,Ding2020MMA,10000,84.36,81.8,3.17,0.031373,0.031373,84.36,41.44,40.36,142.0
cifar10_resnet56,VMIFGSM,Chen2020Adversarial,10000,86.04,83.67,2.88,0.031373,0.031373,86.04,51.56,32.11,142.0
cifar10_resnet56,DIFGSM,Andriushchenko2020Understanding,10000,79.84,78.29,2.12,0.031373,0.031373,79.84,43.93,34.36,24.0
cifar10_resnet56,DIFGSM,Ding2020MMA,10000,84.36,81.97,3.03,0.031373,0.031373,84.36,41.44,40.53,24.0
cifar10_resnet56,DIFGSM,Chen2020Adversarial,10000,86.04,84.02,2.5,0.031373,0.031373,86.04,51.56,32.46,24.0
cifar10_resnet56,TIFGSM,Andriushchenko2020Understanding,10000,79.84,77.58,3.22,0.031373,0.031373,79.84,43.93,33.65,24.1
cifar10_resnet56,TIFGSM,Ding2020MMA,10000,84.36,81.84,3.53,0.031373,0.031373,84.36,41.44,40.4,24.1
cifar10_resnet56,TIFGSM,Chen2020Adversarial,10000,86.04,83.83,2.87,0.031373,0.031373,86.04,51.56,32.27,24.1
cifar10_mobilenetv2_x1_4,Admix,Andriushchenko2020Understanding,10000,79.84,78.19,2.33,0.031373,0.031373,79.84,43.93,34.26,816.8
cifar10_mobilenetv2_x1_4,Admix,Ding2020MMA,10000,84.36,82.2,2.83,0.031373,0.031373,84.36,41.44,40.76,816.8
cifar10_mobilenetv2_x1_4,Admix,Chen2020Adversarial,10000,86.04,84.2,2.32,0.031373,0.031373,86.04,51.56,32.64,816.8
cifar10_mobilenetv2_x1_4,VMIFGSM,Andriushchenko2020Understanding,10000,79.84,78.25,2.19,0.031373,0.031373,79.84,43.93,34.32,418.0
cifar10_mobilenetv2_x1_4,VMIFGSM,Ding2020MMA,10000,84.36,82.15,2.86,0.031373,0.031373,84.36,41.44,40.71,418.0
cifar10_mobilenetv2_x1_4,VMIFGSM,Chen2020Adversarial,10000,86.04,83.98,2.52,0.031373,0.031373,86.04,51.56,32.42,418.0
